barangay,total_amount,total_assistances
"A.O. FLOIRENDO",7600.00,7
BALIK-PROBINSYA,4800.00,4
Barangay,1500.00,2
BUENAVISTA,23200.00,22
CACAO,39500.00,44
CAGANGOHAN,813100.00,853
CAGGANGOHAN,2100.00,3
CGANGOHAN,8400.00,7
CONSOLACION,28500.00,26
DALISAY,85700.00,83
DAPCO,97300.00,99
"DATU ABDUL",459900.00,477
GREDU,842000.00,851
"J.P LAUREL",28300.00,32
"J.P.
 LAUREL",2000.00,2
"J.P. 
LAUREL",2000.00,2
J.P.,2000.00,2
"J.P. LAUREL",365700.00,384
"JP LAUREL",8600.00,8
KASILAK,37800.00,34
KATIPUNAN,173900.00,171
KATUALAN,13200.00,12
KAUSWAGAN,22600.00,22
KIOTOY,47900.00,46
LEMONSITO,2400.00,2
"LITTLE PANAY",76700.00,74
"LOWER PANAGA",39400.00,35
MABUNAO,12000.00,12
MADUAO,99800.00,108
MALATIVAS,10600.00,10
MANAY,118300.00,115
NANYO,145100.00,142
"NEW MALAGA",7800.00,7
"NEW MALITBOG",98300.00,101
"NEW PANDAN",440600.00,427
"NEW VISAYAS",662400.00,669
"NEW VISYAS",2100.00,3
QUEZON,205800.00,220
"S.O DAVAO",18100.00,19
SALVACION,607900.00,609
"SAN FRANCISCO",537300.00,535
"SAN NICOLAS",73300.00,68
"SAN PEDRO",368600.00,386
"SAN ROQUE",10200.00,9
"SAN VICENTE",580400.00,571
SAVACION,4000.00,4
SEÑORITA,2400.00,3
SINDATON,50700.00,48
"SO. DAVAO",9600.00,9
"SOUTHER DAVAO",6600.00,6
"SOUTHERN AVAO",12600.00,15
"SOUTHERN DAVAO",214000.00,213
"STA. CRUZ",44100.00,39
"STO NIÑO",10200.00,9
"STO. NIÑO",207200.00,206
TAGPORE,35400.00,31
TIBUNGOL,42700.00,40
"TRANSIENT CLIENT",12000.00,11
"UPPER LICANAN",55500.00,49
WATERFALL,33000.00,30
